,Median,Less than 10k,10k to 15k,15k to 25k,25k to 35k,35k to 50k,50k to 75k,75k to 100k,100k to 150k,150k to 200k,Over than 200k
Alabama,46257,9.5,6.5,12.2,11.1,13.7,17.4,11.4,11.0,3.9,3.3
Alaska,76440,3.6,2.9,6.5,6.9,10.5,18.7,14.4,20.1,9.2,7.1
Arizona,53558,7.3,4.9,9.8,10.1,14.2,18.7,12.5,12.6,5.0,4.8
Arkansas,44334,8.8,6.6,12.7,11.9,15.2,18.3,10.4,10.1,3.1,2.9
California,67739,5.4,4.5,8.6,8.0,11.4,16.3,12.2,15.7,7.9,10.1
Colorado,65685,5.2,3.8,8.1,8.2,12.4,18.6,13.7,15.8,7.1,7.2
Connecticut,73433,5.2,3.7,7.6,7.6,11.0,15.7,12.8,17.2,8.2,11.1
Delaware,61757,5.9,3.7,8.4,9.6,13.2,18.5,13.9,15.8,5.6,5.6
District of Columbia,75506,10.7,5.2,6.9,6.4,7.6,12.9,10.0,15.7,9.4,15.1
Florida,50860,7.1,5.0,11.0,11.0,14.8,18.5,11.6,11.6,4.3,4.9
Georgia,53559,7.5,5.1,10.3,9.9,13.6,18.4,12.2,12.8,5.0,5.3
Hawaii,74511,5.5,3.7,6.3,6.7,10.5,17.7,13.7,18.7,8.2,9.2
Idaho,51807,7.3,5.0,10.2,10.2,15.4,20.5,12.1,12.2,4.0,3.1
Illinois,60960,7.0,4.3,9.3,8.8,12.3,17.1,12.8,15.1,6.5,6.8
Indiana,52314,6.7,4.8,10.6,10.6,14.8,19.8,12.8,12.4,4.2,3.5
Iowa,56247,5.8,4.4,9.9,10.2,14.1,19.4,13.9,13.9,4.5,3.9
Kansas,54935,6.2,4.7,9.8,10.5,14.6,19.1,12.6,13.6,4.5,4.4
Kentucky,46659,9.6,6.3,11.7,11.0,14.1,18.0,11.4,11.1,3.4,3.4
Louisiana,45146,10.3,6.5,12.9,10.5,13.7,16.3,10.4,11.3,4.4,3.8
Maine,53079,6.2,5.6,10.9,10.6,13.4,19.3,12.7,13.3,4.2,3.7
Maryland,78945,5.2,2.9,6.5,6.7,10.1,16.4,13.5,18.6,9.5,10.5
Massachusetts,75297,5.8,4.3,7.6,7.1,10.2,14.8,12.5,17.7,9.1,10.8
Michigan,52492,7.3,5.0,10.7,10.4,14.0,18.5,12.1,13.0,4.7,4.4
Minnesota,65599,4.6,4.1,8.4,8.3,12.6,18.3,13.9,16.5,6.8,6.4
Mississippi,41754,10.4,8.0,13.0,11.2,14.2,17.0,10.8,9.7,3.2,2.6
Missouri,51746,6.8,5.2,10.6,10.8,14.7,18.9,12.5,12.3,4.3,3.9
Montana,50027,6.4,6.0,10.7,11.3,15.6,18.6,12.2,11.7,3.8,3.7
Nebraska,56927,6.1,4.4,9.2,10.5,14.1,18.9,13.2,14.2,5.0,4.2
Nevada,55180,6.5,4.0,10.1,10.8,14.1,19.4,12.8,13.5,4.4,4.3
New Hampshire,70936,4.0,3.1,7.0,8.5,11.5,18.7,14.5,17.3,7.9,7.5
New Jersey,76126,5.3,3.7,7.7,7.3,10.1,15.2,12.2,17.2,9.3,12.0
New Mexico,46748,8.8,6.5,12.9,10.4,14.1,17.5,11.5,11.2,3.5,3.6
New York,62909,7.5,4.9,9.0,8.5,11.1,15.7,12.0,15.0,7.2,9.0
North Carolina,50584,7.3,5.9,10.9,10.9,14.4,18.4,12.1,11.6,4.3,4.4
North Dakota,60656,6.1,4.1,9.0,9.0,12.7,19.4,13.6,16.4,4.9,4.8
Ohio,52334,7.5,5.2,10.6,10.1,14.0,18.9,12.3,12.8,4.4,4.1
Oklahoma,49176,7.8,5.7,11.4,11.2,14.4,18.6,11.8,11.7,3.9,3.5
Oregon,57532,5.9,4.5,9.8,10.0,13.3,18.7,12.8,14.2,5.4,5.3
Pennsylvania,56907,6.4,4.7,10.1,9.6,13.1,18.3,12.5,14.2,5.5,5.4
Rhode Island,60596,7.3,5.9,8.9,8.9,12.3,16.3,12.3,16.4,6.3,5.4
South Carolina,49501,8.2,5.7,10.9,11.1,14.6,18.3,11.9,11.7,4.0,3.7
South Dakota,54467,6.6,4.6,9.4,10.6,14.6,20.1,14.4,12.3,3.9,3.7
Tennessee,48547,7.9,5.4,11.9,11.1,14.9,18.4,11.7,10.9,4.0,3.8
Texas,56565,6.5,4.6,9.8,10.0,13.3,18.0,11.9,13.9,5.6,6.4
Utah,65977,4.2,3.3,7.2,8.2,13.0,21.2,14.9,16.7,6.0,5.2
Vermont,57677,5.5,6.1,9.6,10.0,12.3,18.6,13.7,14.5,5.0,4.8
Virginia,68114,5.6,3.9,7.8,8.0,11.8,17.0,12.8,16.2,7.6,9.3
Washington,67106,5.3,3.8,7.6,8.0,12.4,18.0,13.6,16.6,7.1,7.6
West Virginia,43385,9.7,6.6,12.9,11.8,14.3,17.6,11.1,10.4,3.0,2.5
Wisconsin,56811,5.4,4.8,9.8,9.9,13.9,19.3,13.8,14.3,4.6,4.1
Wyoming,59882,5.2,4.5,9.9,9.2,14.3,18.4,13.5,16.2,5.1,3.8
